date,item_name,quantity
2022-04-03,Aalopuri,10
2022-04-09,Aalopuri,10
2022-04-10,Aalopuri,15
2022-04-18,Aalopuri,12
2022-04-20,Aalopuri,5
2022-04-21,Aalopuri,1
2022-04-28,Aalopuri,7
2022-04-29,Aalopuri,8
2022-05-01,Aalopuri,13
2022-05-04,Aalopuri,11
2022-05-06,Aalopuri,25
2022-05-07,Aalopuri,11
2022-05-09,Aalopuri,8
2022-05-11,Aalopuri,4
2022-05-12,Aalopuri,15
2022-05-13,Aalopuri,15
2022-05-14,Aalopuri,7
2022-05-15,Aalopuri,21
2022-05-16,Aalopuri,2
2022-05-19,Aalopuri,7
2022-05-20,Aalopuri,3
2022-05-21,Aalopuri,25
2022-05-23,Aalopuri,3
2022-05-27,Aalopuri,10
2022-05-29,Aalopuri,11
2022-06-06,Aalopuri,11
2022-06-15,Aalopuri,4
2022-06-25,Aalopuri,2
2022-06-26,Aalopuri,15
2022-06-27,Aalopuri,8
2022-06-28,Aalopuri,3
2022-07-03,Aalopuri,13
2022-07-06,Aalopuri,2
2022-07-09,Aalopuri,1
2022-07-16,Aalopuri,5
2022-07-17,Aalopuri,12
2022-07-22,Aalopuri,1
2022-07-24,Aalopuri,12
2022-07-25,Aalopuri,4
2022-07-26,Aalopuri,13
2022-07-27,Aalopuri,4
2022-07-30,Aalopuri,9
2022-08-06,Aalopuri,3
2022-08-14,Aalopuri,10
2022-08-16,Aalopuri,11
2022-08-17,Aalopuri,13
2022-08-19,Aalopuri,3
2022-08-21,Aalopuri,12
2022-08-22,Aalopuri,6
2022-08-24,Aalopuri,20
2022-08-25,Aalopuri,5
2022-08-27,Aalopuri,23
2022-09-03,Aalopuri,2
2022-09-11,Aalopuri,2
2022-09-14,Aalopuri,15
2022-09-15,Aalopuri,9
2022-09-17,Aalopuri,6
2022-09-18,Aalopuri,15
2022-09-21,Aalopuri,9
2022-09-23,Aalopuri,1
2022-09-24,Aalopuri,14
2022-10-01,Aalopuri,9
2022-10-10,Aalopuri,12
2022-10-11,Aalopuri,29
2022-10-15,Aalopuri,14
2022-10-17,Aalopuri,11
2022-10-20,Aalopuri,13
2022-10-22,Aalopuri,1
2022-10-24,Aalopuri,3
2022-10-27,Aalopuri,6
2022-10-30,Aalopuri,16
2022-11-01,Aalopuri,12
2022-11-02,Aalopuri,1
2022-11-04,Aalopuri,13
2022-11-20,Aalopuri,2
2022-11-21,Aalopuri,5
2022-11-23,Aalopuri,15
2022-11-28,Aalopuri,14
2022-12-03,Aalopuri,1
2022-12-04,Aalopuri,2
2022-12-07,Aalopuri,2
2022-12-09,Aalopuri,8
2022-12-12,Aalopuri,21
2022-12-14,Aalopuri,14
2022-12-16,Aalopuri,5
2022-12-20,Aalopuri,5
2022-12-21,Aalopuri,10
2022-12-23,Aalopuri,14
2022-12-28,Aalopuri,2
2022-12-29,Aalopuri,4
2023-01-01,Aalopuri,15
2023-01-02,Aalopuri,12
2023-01-05,Aalopuri,1
2023-01-12,Aalopuri,13
2023-01-14,Aalopuri,8
2023-01-15,Aalopuri,1
2023-01-24,Aalopuri,7
2023-01-28,Aalopuri,15
2023-01-31,Aalopuri,4
2023-02-02,Aalopuri,10
2023-02-03,Aalopuri,3
2023-02-05,Aalopuri,13
2023-02-06,Aalopuri,3
2023-02-07,Aalopuri,14
2023-02-13,Aalopuri,8
2023-02-17,Aalopuri,2
2023-02-22,Aalopuri,8
2023-02-24,Aalopuri,3
2023-02-26,Aalopuri,6
2023-02-28,Aalopuri,1
2023-03-02,Aalopuri,25
2023-03-09,Aalopuri,15
2023-03-10,Aalopuri,12
2023-03-11,Aalopuri,1
2023-03-12,Aalopuri,4
2023-03-16,Aalopuri,3
2023-03-21,Aalopuri,14
2023-03-25,Aalopuri,2
2022-04-02,Cold coffee,15
2022-04-04,Cold coffee,19
2022-04-09,Cold coffee,6
2022-04-19,Cold coffee,1
2022-04-20,Cold coffee,16
2022-04-26,Cold coffee,14
2022-05-02,Cold coffee,10
2022-05-05,Cold coffee,23
2022-05-07,Cold coffee,8
2022-05-09,Cold coffee,28
2022-05-13,Cold coffee,14
2022-05-14,Cold coffee,10
2022-05-15,Cold coffee,2
2022-05-19,Cold coffee,3
2022-05-21,Cold coffee,13
2022-05-24,Cold coffee,3
2022-05-30,Cold coffee,3
2022-06-02,Cold coffee,4
2022-06-09,Cold coffee,13
2022-06-10,Cold coffee,8
2022-06-11,Cold coffee,2
2022-06-20,Cold coffee,5
2022-06-29,Cold coffee,14
2022-07-01,Cold coffee,19
2022-07-02,Cold coffee,11
2022-07-03,Cold coffee,2
2022-07-07,Cold coffee,10
2022-07-16,Cold coffee,10
2022-07-31,Cold coffee,9
2022-08-02,Cold coffee,15
2022-08-08,Cold coffee,12
2022-08-09,Cold coffee,15
2022-08-14,Cold coffee,7
2022-08-15,Cold coffee,10
2022-08-16,Cold coffee,9
2022-08-20,Cold coffee,20
2022-08-24,Cold coffee,8
2022-08-25,Cold coffee,5
2022-08-26,Cold coffee,21
2022-08-28,Cold coffee,12
2022-08-31,Cold coffee,17
2022-09-06,Cold coffee,7
2022-09-09,Cold coffee,1
2022-09-14,Cold coffee,13
2022-09-15,Cold coffee,10
2022-09-19,Cold coffee,13
2022-09-21,Cold coffee,18
2022-09-25,Cold coffee,3
2022-09-27,Cold coffee,2
2022-10-02,Cold coffee,2
2022-10-04,Cold coffee,10
2022-10-06,Cold coffee,2
2022-10-07,Cold coffee,7
2022-10-09,Cold coffee,12
2022-10-11,Cold coffee,27
2022-10-12,Cold coffee,11
2022-10-13,Cold coffee,4
2022-10-14,Cold coffee,14
2022-10-16,Cold coffee,18
2022-10-19,Cold coffee,4
2022-10-24,Cold coffee,27
2022-10-27,Cold coffee,13
2022-10-31,Cold coffee,5
2022-11-03,Cold coffee,10
2022-11-06,Cold coffee,34
2022-11-07,Cold coffee,10
2022-11-12,Cold coffee,7
2022-11-13,Cold coffee,11
2022-11-15,Cold coffee,15
2022-11-17,Cold coffee,20
2022-11-22,Cold coffee,9
2022-11-24,Cold coffee,3
2022-11-25,Cold coffee,15
2022-11-26,Cold coffee,11
2022-11-28,Cold coffee,9
2022-12-02,Cold coffee,6
2022-12-04,Cold coffee,15
2022-12-05,Cold coffee,6
2022-12-08,Cold coffee,13
2022-12-09,Cold coffee,9
2022-12-17,Cold coffee,2
2022-12-21,Cold coffee,28
2022-12-23,Cold coffee,17
2022-12-25,Cold coffee,10
2022-12-26,Cold coffee,20
2022-12-27,Cold coffee,11
2022-12-28,Cold coffee,1
2022-12-31,Cold coffee,13
2023-01-02,Cold coffee,15
2023-01-03,Cold coffee,8
2023-01-06,Cold coffee,10
2023-01-10,Cold coffee,7
2023-01-14,Cold coffee,13
2023-01-20,Cold coffee,2
2023-01-21,Cold coffee,13
2023-01-30,Cold coffee,14
2023-01-31,Cold coffee,12
2023-02-01,Cold coffee,15
2023-02-02,Cold coffee,6
2023-02-05,Cold coffee,27
2023-02-10,Cold coffee,10
2023-02-15,Cold coffee,14
2023-02-16,Cold coffee,10
2023-02-17,Cold coffee,3
2023-02-18,Cold coffee,15
2023-02-20,Cold coffee,21
2023-02-21,Cold coffee,12
2023-02-22,Cold coffee,6
2023-02-23,Cold coffee,6
2023-02-24,Cold coffee,6
2023-03-01,Cold coffee,11
2023-03-03,Cold coffee,8
2023-03-04,Cold coffee,15
2023-03-13,Cold coffee,14
2023-03-14,Cold coffee,8
2023-03-15,Cold coffee,4
2023-03-17,Cold coffee,10
2023-03-20,Cold coffee,9
2023-03-21,Cold coffee,5
2023-03-22,Cold coffee,6
2023-03-23,Cold coffee,10
2023-03-24,Cold coffee,2
2023-03-25,Cold coffee,13
2023-03-29,Cold coffee,27
2022-04-05,Frankie,2
2022-04-08,Frankie,1
2022-04-10,Frankie,4
