date,item_id,item_name,quantity_sold,price,promotion,is_holiday,is_ramadan
2024-01-01,1,Grilled Chicken,39,120,0,0,0
2024-01-02,1,Grilled Chicken,47,120,0,0,0
2024-01-03,1,Grilled Chicken,66,120,1,0,0
2024-01-04,1,Grilled Chicken,51,120,0,0,0
2024-01-05,1,Grilled Chicken,80,120,1,0,0
2024-01-06,1,Grilled Chicken,58,120,0,0,0
2024-01-07,1,Grilled Chicken,47,120,0,1,0
2024-01-08,1,Grilled Chicken,51,120,0,0,0
2024-01-09,1,Grilled Chicken,44,120,0,0,0
2024-01-10,1,Grilled Chicken,42,120,0,0,0
2024-01-11,1,Grilled Chicken,43,120,0,0,0
2024-01-12,1,Grilled Chicken,67,120,0,0,0
2024-01-13,1,Grilled Chicken,64,120,0,0,0
2024-01-14,1,Grilled Chicken,44,120,0,0,0
2024-01-15,1,Grilled Chicken,61,120,1,0,0
2024-01-16,1,Grilled Chicken,52,120,0,0,0
2024-01-17,1,Grilled Chicken,41,120,0,0,0
2024-01-18,1,Grilled Chicken,46,120,0,0,0
2024-01-19,1,Grilled Chicken,87,120,1,0,0
2024-01-20,1,Grilled Chicken,67,120,0,0,0
2024-01-21,1,Grilled Chicken,64,120,0,0,0
2024-01-22,1,Grilled Chicken,55,120,0,0,0
2024-01-23,1,Grilled Chicken,49,120,0,0,0
2024-01-24,1,Grilled Chicken,53,120,0,0,0
2024-01-25,1,Grilled Chicken,42,120,0,0,0
2024-01-26,1,Grilled Chicken,53,120,0,0,0
2024-01-27,1,Grilled Chicken,55,120,0,0,0
2024-01-28,1,Grilled Chicken,43,120,0,0,0
2024-01-29,1,Grilled Chicken,52,120,0,0,0
2024-01-30,1,Grilled Chicken,54,120,0,0,0
2024-01-31,1,Grilled Chicken,48,120,0,0,0
2024-02-01,1,Grilled Chicken,45,120,0,0,0
2024-02-02,1,Grilled Chicken,54,120,0,0,0
2024-02-03,1,Grilled Chicken,106,120,1,0,0
2024-02-04,1,Grilled Chicken,57,120,0,0,0
2024-02-05,1,Grilled Chicken,44,120,0,0,0
2024-02-06,1,Grilled Chicken,44,120,0,0,0
2024-02-07,1,Grilled Chicken,49,120,0,0,0
2024-02-08,1,Grilled Chicken,59,120,0,0,0
2024-02-09,1,Grilled Chicken,70,120,0,0,0
2024-02-10,1,Grilled Chicken,65,120,0,0,0
2024-02-11,1,Grilled Chicken,50,120,0,0,0
2024-02-12,1,Grilled Chicken,59,120,1,0,0
2024-02-13,1,Grilled Chicken,57,120,0,0,0
2024-02-14,1,Grilled Chicken,47,120,0,0,0
2024-02-15,1,Grilled Chicken,42,120,0,0,0
2024-02-16,1,Grilled Chicken,67,120,0,0,0
2024-02-17,1,Grilled Chicken,65,120,0,0,0
2024-02-18,1,Grilled Chicken,54,120,0,0,0
2024-02-19,1,Grilled Chicken,58,120,0,0,0
2024-02-20,1,Grilled Chicken,60,120,0,0,0
2024-02-21,1,Grilled Chicken,52,120,0,0,0
2024-02-22,1,Grilled Chicken,50,120,0,0,0
2024-02-23,1,Grilled Chicken,67,120,0,0,0
2024-02-24,1,Grilled Chicken,48,120,0,0,0
2024-02-25,1,Grilled Chicken,54,120,0,0,0
2024-02-26,1,Grilled Chicken,55,120,0,0,0
2024-02-27,1,Grilled Chicken,51,120,0,0,0
2024-02-28,1,Grilled Chicken,46,120,0,0,0
2024-02-29,1,Grilled Chicken,61,120,0,0,0
2024-03-01,1,Grilled Chicken,70,120,0,0,0
2024-03-02,1,Grilled Chicken,56,120,0,0,0
2024-03-03,1,Grilled Chicken,53,120,0,0,0
2024-03-04,1,Grilled Chicken,50,120,0,0,0
2024-03-05,1,Grilled Chicken,78,120,1,0,0
2024-03-06,1,Grilled Chicken,51,120,0,0,0
